system:index,doa,mean_std,stats_percentile,.geo
S1B_IW_GRDH_1SDV_20181001T062321_20181001T062346_012955_017ED7_54A0,201810274,"{VV_mean=-14.896134608251907, VV_stdDev=4.764513566797565, VH_mean=-24.55015344690726, VH_stdDev=7.559735504849754}","{VV_p2=-23.225362695786213, VV_p98=-7.267664076137902, VH_p2=-37.23589216518461, VH_p98=-14.273865815892833}",
S1A_IW_GRDH_1SDV_20181007T062352_20181007T062417_024026_02A00C_E9D6,201810280,"{VV_mean=-14.346953043687208, VV_stdDev=4.437716694447929, VH_mean=-25.080671574478277, VH_stdDev=6.897969120086512}","{VV_p2=-21.723048392429142, VV_p98=-6.267347943069262, VH_p2=-34.732778196367654, VH_p98=-13.772412881184714}",
S1A_IW_GRDH_1SDV_20181007T062417_20181007T062442_024026_02A00C_360C,201810280,"{VV_mean=-13.483545245037465, VV_stdDev=3.751581477775084, VH_mean=-24.501545284542164, VH_stdDev=6.000414936672144}","{VV_p2=-20.231684606521227, VV_p98=-6.767883496217341, VH_p2=-32.73313962562526, VH_p98=-13.771900593329462}",
S1B_IW_GRDH_1SDV_20181013T062322_20181013T062347_013130_018428_8D09,201810286,"{VV_mean=-13.29464214801716, VV_stdDev=4.838791457327004, VH_mean=-23.277640475326415, VH_stdDev=7.94905285809995}","{VV_p2=-21.732540628613794, VV_p98=-5.767630482837552, VH_p2=-36.73589281161289, VH_p98=-13.274604558272998}",
S1A_IW_GRDH_1SDV_20181019T062352_20181019T062417_024201_02A5C0_8F3F,201810292,"{VV_mean=-16.39358384119059, VV_stdDev=5.664486912567477, VH_mean=-27.17330303717048, VH_stdDev=8.245088674349141}","{VV_p2=-25.234018304337205, VV_p98=-6.768700757492388, VH_p2=-38.23436970075598, VH_p98=-13.769729328179105}",
S1A_IW_GRDH_1SDV_20181019T062417_20181019T062442_024201_02A5C0_E086,201810292,"{VV_mean=-16.568572925654745, VV_stdDev=5.216481103818799, VH_mean=-27.625696615302495, VH_stdDev=7.752325967444231}","{VV_p2=-24.22808561431252, VV_p98=-7.27037392762212, VH_p2=-37.73447475699176, VH_p98=-14.26811097137152}",
S1B_IW_GRDH_1SDV_20181025T062322_20181025T062347_013305_01898F_4355,201810298,"{VV_mean=-15.383651222125664, VV_stdDev=6.846728970220511, VH_mean=-24.387718394719904, VH_stdDev=8.697837699825376}","{VV_p2=-28.23786433106591, VV_p98=-6.268724457348914, VH_p2=-39.23791717538371, VH_p98=-13.774140309324995}",
S1A_IW_GRDH_1SDV_20181031T062352_20181031T062417_024376_02AB67_CC2B,201810304,"{VV_mean=-13.944713443766812, VV_stdDev=3.736050031530886, VH_mean=-26.220437694709346, VH_stdDev=7.196381981532895}","{VV_p2=-19.728883841793003, VV_p98=-6.765850937209994, VH_p2=-35.73143511028747, VH_p98=-13.772066578618507}",
S1A_IW_GRDH_1SDV_20181031T062417_20181031T062442_024376_02AB67_154D,201810304,"{VV_mean=-15.894437035246051, VV_stdDev=4.542407768430497, VH_mean=-27.487205485875908, VH_stdDev=7.285867931529259}","{VV_p2=-22.72556553946317, VV_p98=-7.768531885392629, VH_p2=-37.233647586158675, VH_p98=-14.26821190941526}",
S1B_IW_GRDH_1SDV_20181106T062322_20181106T062347_013480_018F0F_812D,201811310,"{VV_mean=-14.191691509764953, VV_stdDev=5.692221481120926, VH_mean=-24.019309263110642, VH_stdDev=8.54071455674077}","{VV_p2=-23.7280058156109, VV_p98=-5.768059296434299, VH_p2=-38.23738212934711, VH_p98=-13.27377459721001}",
S1A_IW_GRDH_1SDV_20181112T062352_20181112T062417_024551_02B1C4_894F,201811316,"{VV_mean=-15.374785784148662, VV_stdDev=5.224880029414168, VH_mean=-26.33263807406235, VH_stdDev=7.904822670052195}","{VV_p2=-22.732444199328043, VV_p98=-5.768037596184082, VH_p2=-36.23385104838176, VH_p98=-13.27146287843892}",
S1A_IW_GRDH_1SDV_20181112T062417_20181112T062442_024551_02B1C4_FDBF,201811316,"{VV_mean=-16.26101972773126, VV_stdDev=5.5134447744358175, VH_mean=-27.31318574252981, VH_stdDev=8.227641290541435}","{VV_p2=-24.226339650841314, VV_p98=-6.267315322935213, VH_p2=-37.736059442134454, VH_p98=-13.269719368514444}",
S1B_IW_GRDH_1SDV_20181118T062321_20181118T062346_013655_019490_DE9C,201811322,"{VV_mean=-11.248478271847222, VV_stdDev=2.9213350751737703, VH_mean=-22.46459265889366, VH_stdDev=6.8989273451537345}","{VV_p2=-17.740246200611644, VV_p98=-5.766821763320778, VH_p2=-34.23595606323456, VH_p98=-13.273790189425728}",
S1A_IW_GRDH_1SDV_20181124T062352_20181124T062417_024726_02B833_8B8D,201811328,"{VV_mean=-17.52821923138809, VV_stdDev=7.224445862029042, VH_mean=-27.176021506948075, VH_stdDev=8.634329765938125}","{VV_p2=-30.74328309461238, VV_p98=-5.767899348525473, VH_p2=-38.73564195435088, VH_p98=-13.2690014407794}",
S1A_IW_GRDH_1SDV_20181124T062417_20181124T062442_024726_02B833_FAF6,201811328,"{VV_mean=-14.911126001201959, VV_stdDev=4.778634387558269, VH_mean=-27.065907886539858, VH_stdDev=8.016493729035158}","{VV_p2=-23.738816811405545, VV_p98=-6.266716521836477, VH_p2=-37.23396701359093, VH_p98=-13.266555430787593}",
S1B_IW_GRDH_1SDV_20181130T062321_20181130T062346_013830_019A27_B28C,201811334,"{VV_mean=-11.463030612346143, VV_stdDev=3.8914218081465966, VH_mean=-22.480652305363737, VH_stdDev=8.136081575259613}","{VV_p2=-19.240939818132528, VV_p98=-4.766986528489214, VH_p2=-35.73397113411368, VH_p98=-12.772955392358016}",
S1B_IW_GRDH_1SDV_20181212T062320_20181212T062345_014005_019FD4_4DF0,201812346,"{VV_mean=-13.177697382291061, VV_stdDev=5.8942120242039815, VH_mean=-23.041776338044766, VH_stdDev=9.083421500726583}","{VV_p2=-23.73609505120654, VV_p98=-4.768097353907898, VH_p2=-38.23844976818208, VH_p98=-12.274539769046251}",
S1A_IW_GRDH_1SDV_20181218T062351_20181218T062416_025076_02C469_F6DF,201812352,"{VV_mean=-12.34171119692233, VV_stdDev=3.355052767458825, VH_mean=-23.40127786747367, VH_stdDev=6.171879581436732}","{VV_p2=-17.727657750578775, VV_p98=-5.768362799692023, VH_p2=-31.23277812141058, VH_p98=-12.269955628129114}",
S1A_IW_GRDH_1SDV_20181218T062416_20181218T062441_025076_02C469_729C,201812352,"{VV_mean=-12.70620074003197, VV_stdDev=3.317843594743323, VH_mean=-24.33966836242882, VH_stdDev=6.437261046887556}","{VV_p2=-18.22788263177568, VV_p98=-5.768804438397615, VH_p2=-32.23163500954949, VH_p98=-12.270780769001844}",
S1B_IW_GRDH_1SDV_20181224T062320_20181224T062345_014180_01A59F_29F4,201812358,"{VV_mean=-14.305183414820979, VV_stdDev=7.227065175608424, VH_mean=-23.093032210140084, VH_stdDev=9.561620429562502}","{VV_p2=-27.738490542029773, VV_p98=-4.767473505786626, VH_p2=-39.23802285094054, VH_p98=-11.777360694351437}",
S1A_IW_GRDH_1SDV_20181230T062351_20181230T062416_025251_02CAC4_3034,201812364,"{VV_mean=-15.674888799740119, VV_stdDev=5.751018328657209, VH_mean=-26.7248342905574, VH_stdDev=8.708362927158612}","{VV_p2=-25.737832756911807, VV_p98=-5.769872833949574, VH_p2=-38.236103688317826, VH_p98=-12.269582013593814}",
S1A_IW_GRDH_1SDV_20181230T062416_20181230T062441_025251_02CAC4_0D8B,201812364,"{VV_mean=-18.43482600172654, VV_stdDev=7.504842492704784, VH_mean=-27.514275284375657, VH_stdDev=8.572692435829845}","{VV_p2=-33.24549085760179, VV_p98=-6.271053060680098, VH_p2=-38.23640039752649, VH_p98=-12.765627088150096}",
S1B_IW_GRDH_1SDV_20190105T062320_20190105T062345_014355_01AB5C_064A,20190105,"{VV_mean=-14.652406492774714, VV_stdDev=6.060297455927748, VH_mean=-24.159762842294317, VH_stdDev=8.52313733524527}","{VV_p2=-26.738016908885157, VV_p98=-5.768311341029099, VH_p2=-38.73851777115218, VH_p98=-13.271311820380623}",
S1A_IW_GRDH_1SDV_20190111T062350_20190111T062415_025426_02D10E_FCFC,20190111,"{VV_mean=-16.113360660911816, VV_stdDev=5.467204991228483, VH_mean=-26.55445697770108, VH_stdDev=8.235746975881508}","{VV_p2=-23.223804964585995, VV_p98=-6.271447229965775, VH_p2=-37.235642260659, VH_p98=-12.768581155124158}",
S1A_IW_GRDH_1SDV_20190111T062415_20190111T062440_025426_02D10E_B02A,20190111,"{VV_mean=-17.5164111607104, VV_stdDev=6.017246831661499, VH_mean=-27.710340458821772, VH_stdDev=8.16432309414233}","{VV_p2=-27.73742578897288, VV_p98=-7.270779217027828, VH_p2=-38.237453510003824, VH_p98=-13.266970293971072}",
S1B_IW_GRDH_1SDV_20190117T062319_20190117T062344_014530_01B102_FDBC,20190117,"{VV_mean=-11.316957197866254, VV_stdDev=3.2743861771693807, VH_mean=-22.4065599854871, VH_stdDev=7.455653159849887}","{VV_p2=-18.235980575982953, VV_p98=-5.266858448700892, VH_p2=-34.73647805739468, VH_p98=-12.773807491159072}",
S1A_IW_GRDH_1SDV_20190123T062350_20190123T062415_025601_02D76E_EFF4,20190123,"{VV_mean=-12.89278549484382, VV_stdDev=3.6101659253042437, VH_mean=-24.411793912385818, VH_stdDev=6.665495240343598}","{VV_p2=-18.7282415005836, VV_p98=-5.768814252592159, VH_p2=-32.72988183591582, VH_p98=-12.769478873640573}",
S1A_IW_GRDH_1SDV_20190123T062415_20190123T062440_025601_02D76E_7E4D,20190123,"{VV_mean=-12.942504042593821, VV_stdDev=3.363712955880895, VH_mean=-24.805855141319906, VH_stdDev=6.428675851363483}","{VV_p2=-19.73840192893527, VV_p98=-6.772119264059726, VH_p2=-33.73473129595044, VH_p98=-12.771131786891399}",
S1B_IW_GRDH_1SDV_20190129T062319_20190129T062344_014705_01B6A2_9FC4,20190129,"{VV_mean=-13.933449691654527, VV_stdDev=6.211643357762052, VH_mean=-23.1091524928513, VH_stdDev=8.949906270090073}","{VV_p2=-23.722975310029145, VV_p98=-5.267147159811063, VH_p2=-38.236271917056165, VH_p98=-12.772584062241483}",
S1A_IW_GRDH_1SDV_20190204T062349_20190204T062414_025776_02DDCC_7639,20190235,"{VV_mean=-12.73426127872765, VV_stdDev=3.4695120743819365, VH_mean=-23.546904004264764, VH_stdDev=6.379641791113673}","{VV_p2=-17.72864487122814, VV_p98=-5.769178328252317, VH_p2=-31.731506861411656, VH_p98=-12.27231664363654}",
S1A_IW_GRDH_1SDV_20190204T062414_20190204T062439_025776_02DDCC_5B1A,20190235,"{VV_mean=-13.366318149490263, VV_stdDev=3.396851289093423, VH_mean=-24.24053902675496, VH_stdDev=6.238119685444915}","{VV_p2=-18.226664334798524, VV_p98=-6.2691941450510855, VH_p2=-31.726425275958253, VH_p98=-12.76860282544883}",
S1B_IW_GRDH_1SDV_20190210T062319_20190210T062344_014880_01BC5F_3C7D,20190241,"{VV_mean=-9.892959971934424, VV_stdDev=2.489581161611858, VH_mean=-20.62583804933567, VH_stdDev=6.7723412702509815}","{VV_p2=-15.74392872410349, VV_p98=-5.269062012919653, VH_p2=-32.73916946822295, VH_p98=-12.272456668176552}",
S1A_IW_GRDH_1SDV_20190216T062349_20190216T062414_025951_02E3FB_E7E0,20190247,"{VV_mean=-17.000876373595336, VV_stdDev=6.009870121815385, VH_mean=-26.933765255643724, VH_stdDev=8.397486454175917}","{VV_p2=-25.73004604290774, VV_p98=-6.769693883243688, VH_p2=-37.73360915005829, VH_p98=-12.769139407917324}",
S1A_IW_GRDH_1SDV_20190216T062414_20190216T062439_025951_02E3FB_1A8D,20190247,"{VV_mean=-19.407213046588833, VV_stdDev=7.426907709140431, VH_mean=-27.699827425535005, VH_stdDev=8.529929970827144}","{VV_p2=-32.24175533898798, VV_p98=-6.771367291907202, VH_p2=-38.73551982614328, VH_p98=-12.770969391466071}",
S1B_IW_GRDH_1SDV_20190222T062319_20190222T062344_015055_01C217_A24B,20190253,"{VV_mean=-13.704345474759466, VV_stdDev=5.291564914458406, VH_mean=-23.556373069572782, VH_stdDev=8.51566405094985}","{VV_p2=-24.738468454961883, VV_p98=-6.270738912098414, VH_p2=-37.73660053930464, VH_p98=-13.2710895967488}",
S1A_IW_GRDH_1SDV_20190228T062349_20190228T062414_026126_02EA39_CBB8,20190259,"{VV_mean=-13.216763076729201, VV_stdDev=3.1639052858797023, VH_mean=-25.79341294481666, VH_stdDev=7.193810467497288}","{VV_p2=-18.22335972138605, VV_p98=-6.772159251540728, VH_p2=-34.73143794067015, VH_p98=-13.265840595162945}",
S1A_IW_GRDH_1SDV_20190228T062414_20190228T062439_026126_02EA39_7736,20190259,"{VV_mean=-13.171550958700763, VV_stdDev=2.809269057504523, VH_mean=-26.42133295735363, VH_stdDev=7.218347531411295}","{VV_p2=-17.725683733900173, VV_p98=-7.272684213997649, VH_p2=-35.23272062191151, VH_p98=-13.266255248962503}",
S1B_IW_GRDH_1SDV_20190306T062318_20190306T062343_015230_01C7E1_5DC3,20190365,"{VV_mean=-13.044755619354614, VV_stdDev=5.146134526205154, VH_mean=-22.41568916367591, VH_stdDev=8.527022438363664}","{VV_p2=-21.22295988568639, VV_p98=-5.26897123621516, VH_p2=-36.23510992445027, VH_p98=-12.27451507584955}",
S1A_IW_GRDH_1SDV_20190312T062349_20190312T062414_026301_02F096_F6D6,20190371,"{VV_mean=-12.903873073789132, VV_stdDev=3.0382322117830047, VH_mean=-24.101242014336187, VH_stdDev=6.0694309091804115}","{VV_p2=-17.726353077274226, VV_p98=-6.771054668803902, VH_p2=-32.231812589066294, VH_p98=-13.264639157945219}",
S1A_IW_GRDH_1SDV_20190312T062414_20190312T062439_026301_02F096_6161,20190371,"{VV_mean=-14.508938685934451, VV_stdDev=3.6704035227674687, VH_mean=-26.038819627583432, VH_stdDev=7.03312302310379}","{VV_p2=-19.22314290285144, VV_p98=-6.770311398506617, VH_p2=-34.7334168994348, VH_p98=-13.266729647874579}",
S1B_IW_GRDH_1SDV_20190318T062318_20190318T062343_015405_01CD8B_9544,20190377,"{VV_mean=-12.545237009321504, VV_stdDev=3.7934831314601727, VH_mean=-23.0274513027831, VH_stdDev=8.171129261849172}","{VV_p2=-19.73404014237829, VV_p98=-5.767679670017523, VH_p2=-36.2347973678566, VH_p98=-12.774463853896993}",
S1A_IW_GRDH_1SDV_20190324T062349_20190324T062414_026476_02F70E_0CED,20190383,"{VV_mean=-15.645974172480901, VV_stdDev=5.11519884699889, VH_mean=-27.157945301372948, VH_stdDev=8.23685026435909}","{VV_p2=-24.22784126162738, VV_p98=-7.27089548536124, VH_p2=-38.23674090644875, VH_p98=-13.267332407480197}",
S1A_IW_GRDH_1SDV_20190324T062414_20190324T062439_026476_02F70E_99EC,20190383,"{VV_mean=-16.448274658311096, VV_stdDev=4.844993277506289, VH_mean=-27.853691736590314, VH_stdDev=8.035357333587722}","{VV_p2=-23.730559674303095, VV_p98=-7.771336727403191, VH_p2=-38.23580132083035, VH_p98=-13.764013312336216}",
S1B_IW_GRDH_1SDV_20190330T062319_20190330T062344_015580_01D344_2236,20190389,"{VV_mean=-16.139850213977677, VV_stdDev=7.051609917747468, VH_mean=-24.241451571250487, VH_stdDev=8.7045120972509}","{VV_p2=-33.24799613209102, VV_p98=-6.767109669583744, VH_p2=-39.23615301613272, VH_p98=-13.272157315777003}",
S1A_IW_GRDH_1SDV_20190405T062349_20190405T062414_026651_02FD86_9B4B,20190495,"{VV_mean=-15.361003765968704, VV_stdDev=5.392890228432867, VH_mean=-26.73161936970838, VH_stdDev=8.405911478087086}","{VV_p2=-24.738653611383576, VV_p98=-6.268708641480456, VH_p2=-38.23596229684018, VH_p98=-12.769596495355023}",
S1A_IW_GRDH_1SDV_20190405T062414_20190405T062439_026651_02FD86_6947,20190495,"{VV_mean=-15.827289353849949, VV_stdDev=5.328267378865666, VH_mean=-27.20674116178805, VH_stdDev=8.372530274638157}","{VV_p2=-23.229331258900206, VV_p98=-6.267984630702316, VH_p2=-38.23577920963957, VH_p98=-12.768070072946706}",
S1B_IW_GRDH_1SDV_20190411T062319_20190411T062344_015755_01D915_CD1C,201904101,"{VV_mean=-13.614159882081294, VV_stdDev=4.588139983042379, VH_mean=-22.15865223564279, VH_stdDev=7.360334787279308}","{VV_p2=-21.73192726287553, VV_p98=-6.268302718849062, VH_p2=-36.23668074768958, VH_p98=-13.27062397561735}",
S1A_IW_GRDH_1SDV_20190417T062350_20190417T062415_026826_0303E3_D7D9,201904107,"{VV_mean=-14.97848532766432, VV_stdDev=3.8165143422250716, VH_mean=-27.07051024677998, VH_stdDev=7.856820474686941}","{VV_p2=-20.225430092467676, VV_p98=-7.270909281537752, VH_p2=-37.23416694581706, VH_p98=-13.269335274127863}",
S1A_IW_GRDH_1SDV_20190417T062415_20190417T062440_026826_0303E3_8E82,201904107,"{VV_mean=-13.143998183616453, VV_stdDev=2.732620170336277, VH_mean=-26.320218439476694, VH_stdDev=6.89700361334131}","{VV_p2=-18.737939568503563, VV_p98=-7.270546438465312, VH_p2=-34.73133013873721, VH_p98=-13.765395934019462}",
S1B_IW_GRDH_1SDV_20190423T062320_20190423T062345_015930_01DEE1_93E6,201904113,"{VV_mean=-15.26475368929865, VV_stdDev=5.561600624981003, VH_mean=-24.4118172909348, VH_stdDev=8.408748741599476}","{VV_p2=-25.735452858293844, VV_p98=-6.768928054446965, VH_p2=-38.237578080693545, VH_p98=-13.771587628802234}",
S1A_IW_GRDH_1SDV_20190429T062351_20190429T062415_027001_030A36_D73D,201904119,"{VV_mean=-20.774458145713805, VV_stdDev=8.761909485739514, VH_mean=-27.92736849604823, VH_stdDev=8.687942267502981}","{VV_p2=-35.24192704210562, VV_p98=-6.2650829263773735, VH_p2=-39.73643802937304, VH_p98=-13.765833997242195}",
S1A_IW_GRDH_1SDV_20190429T062416_20190429T062440_027001_030A36_FB18,201904119,"{VV_mean=-18.76930018876774, VV_stdDev=7.686162050482412, VH_mean=-28.273803045914953, VH_stdDev=8.26444731496399}","{VV_p2=-34.74765185391671, VV_p98=-6.7667985365114705, VH_p2=-39.23665045454912, VH_p98=-13.769989821087945}",
S1B_IW_GRDH_1SDV_20190505T062320_20190505T062345_016105_01E4BD_6AE9,201905125,"{VV_mean=-15.743765868231844, VV_stdDev=5.689906145871944, VH_mean=-24.9360398676126, VH_stdDev=8.055139238221136}","{VV_p2=-26.73687897961431, VV_p98=-7.268205000511615, VH_p2=-38.238474482518455, VH_p98=-14.27018461030748}",
S1A_IW_GRDH_1SDV_20190511T062351_20190511T062416_027176_03103D_CECA,201905131,"{VV_mean=-14.443698302816756, VV_stdDev=4.620924277680802, VH_mean=-26.724732463565267, VH_stdDev=8.109780239803879}","{VV_p2=-21.7331391149491, VV_p98=-5.265267259220183, VH_p2=-37.23381237388943, VH_p98=-13.268524669459467}",
S1A_IW_GRDH_1SDV_20190511T062416_20190511T062441_027176_03103D_66A3,201905131,"{VV_mean=-14.113198094973175, VV_stdDev=4.545569837171404, VH_mean=-26.39130219442774, VH_stdDev=7.462474854680284}","{VV_p2=-22.23483975234493, VV_p98=-5.767228767863048, VH_p2=-36.23597083598556, VH_p98=-13.269654219447222}",
